"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 09 20:21:43 UTC 2026","Wed Sep 09 20:21:43 UTC 2026","457","","negative.UserNegativeTests","","negative.UserNegativeTests","shouldReturnUnauthorizedWhenTokenIsMissing","shouldReturnUnauthorizedWhenTokenIsMissing()",""
"passed","Wed Sep 09 20:21:43 UTC 2026","Wed Sep 09 20:21:43 UTC 2026","137","","negative.UserNegativeTests","","negative.UserNegativeTests","shouldReturnNotFoundWhenResourceDoesNotExist","shouldReturnNotFoundWhenResourceDoesNotExist()",""
"passed","Wed Sep 09 20:21:41 UTC 2026","Wed Sep 09 20:21:42 UTC 2026","360","","crud.UserCrudTest","","crud.UserCrudTest","shouldUpdateUserPartiallyWhenUserExists","shouldUpdateUserPartiallyWhenUserExists()",""
"passed","Wed Sep 09 20:21:41 UTC 2026","Wed Sep 09 20:21:41 UTC 2026","296","","crud.UserCrudTest","","crud.UserCrudTest","shouldDeleteUserWhenUserExists","shouldDeleteUserWhenUserExists()",""
"passed","Wed Sep 09 20:21:42 UTC 2026","Wed Sep 09 20:21:43 UTC 2026","140","","negative.UserNegativeTests","","negative.UserNegativeTests","shouldReturnForbiddenWhenTokenIsNotValid","shouldReturnForbiddenWhenTokenIsNotValid()",""
"passed","Wed Sep 09 20:21:38 UTC 2026","Wed Sep 09 20:21:41 UTC 2026","2993","","crud.UserCrudTest","","crud.UserCrudTest","shouldCreateOneUserWhenRequestIsValid","shouldCreateOneUserWhenRequestIsValid()",""
"passed","Wed Sep 09 20:21:42 UTC 2026","Wed Sep 09 20:21:42 UTC 2026","363","","crud.UserCrudTest","","crud.UserCrudTest","shouldReturnOneUserWhenUserExists","shouldReturnOneUserWhenUserExists()",""
"passed","Wed Sep 09 20:21:41 UTC 2026","Wed Sep 09 20:21:41 UTC 2026","391","","crud.UserCrudTest","","crud.UserCrudTest","shouldReplaceUserWhenUserExists","shouldReplaceUserWhenUserExists()",""
"passed","Wed Sep 09 20:21:42 UTC 2026","Wed Sep 09 20:21:42 UTC 2026","426","","crud.UserCrudTest","","crud.UserCrudTest","shouldReturnUsersWhenApiIsAvailable","shouldReturnUsersWhenApiIsAvailable()",""
"passed","Wed Sep 09 20:21:43 UTC 2026","Wed Sep 09 20:21:43 UTC 2026","1","","smoke.SmokeTest","","smoke.SmokeTest","shouldRunFramework","shouldRunFramework()",""
